,contrast,sign,task,x,y,z
0,story-math,pos,hcp_language,-43.5,31.5,-13.5
1,story-math,pos,hcp_language,-64.5,-16.5,6.0
2,story-math,pos,hcp_language,-42.0,-27.0,-22.5
3,story-math,pos,hcp_language,-52.5,-4.26325641456e-14,-19.5
4,random,pos,hcp_social,46.5,-69.0,1.5
5,random,pos,hcp_social,49.5,-67.5,-3.0
6,random,pos,hcp_social,55.5,-72.0,4.5
7,random,pos,hcp_social,51.0,-58.5,4.5
8,random,pos,hcp_social,-37.5,-82.5,-4.5
9,random,pos,hcp_social,-43.5,-73.5,1.5
10,random,pos,hcp_social,-39.0,-76.5,-4.5
11,random,pos,hcp_social,-42.0,-88.5,1.5
12,random,pos,hcp_social,-16.5,-66.0,63.0
13,random,pos,hcp_social,-24.0,-67.5,60.0
14,random,pos,hcp_social,-34.5,-58.5,58.5
15,random,pos,hcp_social,-28.5,-58.5,54.0
16,random,pos,hcp_social,25.5,-63.0,64.5
17,random,pos,hcp_social,19.5,-66.0,64.5
18,random,pos,hcp_social,10.5,-63.0,67.5
19,random,pos,hcp_social,9.0,-61.5,64.5
20,random,pos,hcp_social,58.5,-42.0,21.0
21,random,pos,hcp_social,61.5,-46.5,27.0
22,random,pos,hcp_social,64.5,-33.0,21.0
23,random,pos,hcp_social,64.5,-46.5,16.5
24,random,pos,hcp_social,15.0,-96.0,6.0
25,random,pos,hcp_social,-25.5,-82.5,36.0
26,random,pos,hcp_social,-25.5,-76.5,30.0
27,random,pos,hcp_social,-19.5,-88.5,40.5
28,random,pos,hcp_social,33.0,-54.0,57.0
29,random,pos,hcp_social,27.0,-51.0,52.5
30,random,pos,hcp_social,30.0,-46.5,51.0
31,random,pos,hcp_social,-43.5,-60.0,-13.5
32,random,pos,hcp_social,-42.0,-57.0,-18.0
33,random,pos,hcp_social,7.5,-88.5,-12.0
34,random,pos,hcp_social,12.0,-85.5,-9.0
35,random,pos,hcp_social,13.5,-88.5,-4.5
36,random,pos,hcp_social,10.5,-93.0,-3.0
37,random,pos,hcp_social,-10.5,-99.0,-3.0
38,random,pos,hcp_social,-19.5,-84.0,-16.5
39,random,pos,hcp_social,-18.0,-85.5,-7.5
40,random,pos,hcp_social,30.0,-9.0,54.0
41,random,pos,hcp_social,36.0,-72.0,24.0
42,random,pos,hcp_social,-42.0,-60.0,-49.5
43,random,pos,hcp_social,-48.0,-61.5,-49.5
44,random,pos,hcp_social,27.0,-75.0,-15.0
45,random,pos,hcp_social,-1.5,48.0,-25.5
46,random,neg,hcp_social,0.0,-85.5,21.0
47,random,neg,hcp_social,-7.5,-67.5,-9.0
48,random,neg,hcp_social,-9.0,-70.5,4.5
49,random,neg,hcp_social,12.0,-60.0,-15.0
50,random,neg,hcp_social,-1.5,-28.5,31.5
51,random,neg,hcp_social,0.0,-4.26325641456e-14,55.5
52,random,neg,hcp_social,3.0,3.0,55.5
53,random,neg,hcp_social,9.0,-36.0,42.0
54,random,neg,hcp_social,33.0,28.5,27.0
55,random,neg,hcp_social,37.5,45.0,22.5
56,random,neg,hcp_social,42.0,43.5,21.0
57,random,neg,hcp_social,36.0,43.5,31.5
58,random,neg,hcp_social,-40.5,40.5,6.0
59,random,neg,hcp_social,-28.5,36.0,45.0
60,random,neg,hcp_social,-28.5,55.5,25.5
61,random,neg,hcp_social,-37.5,49.5,22.5
62,random,neg,hcp_social,57.0,-4.5,13.5
63,random,neg,hcp_social,60.0,7.5,-7.5
64,random,neg,hcp_social,66.0,-4.5,-1.5
65,random,neg,hcp_social,57.0,12.0,-6.0
66,random,neg,hcp_social,-58.5,4.5,-1.5
67,random,neg,hcp_social,-57.0,10.5,-7.5
68,random,neg,hcp_social,-34.5,7.5,13.5
69,random,neg,hcp_social,-37.5,3.0,6.0
70,random,neg,hcp_social,24.0,-33.0,76.5
71,random,neg,hcp_social,37.5,-36.0,67.5
72,random,neg,hcp_social,25.5,-33.0,55.5
73,random,neg,hcp_social,16.5,-36.0,79.5
74,random,neg,hcp_social,-33.0,-19.5,66.0
75,random,neg,hcp_social,-30.0,-31.5,67.5
76,random,neg,hcp_social,-28.5,-33.0,73.5
77,random,neg,hcp_social,-30.0,-33.0,64.5
78,random,neg,hcp_social,3.0,-6.0,12.0
79,random,neg,hcp_social,-3.0,-3.0,3.0
80,random,neg,hcp_social,-4.5,-1.5,1.42108547152e-14
81,random,neg,hcp_social,7.5,-4.5,13.5
82,random,neg,hcp_social,9.0,52.5,-7.5
83,random,neg,hcp_social,12.0,54.0,-1.5
84,random,neg,hcp_social,3.0,57.0,-3.0
85,random,neg,hcp_social,3.0,48.0,1.42108547152e-14
86,random,neg,hcp_social,-54.0,-60.0,-39.0
87,random,neg,hcp_social,-40.5,-61.5,-27.0
88,random,neg,hcp_social,-51.0,-55.5,-33.0
89,random,neg,hcp_social,-40.5,-58.5,-39.0
90,random,neg,hcp_social,-22.5,58.5,-3.0
91,random,neg,hcp_social,-12.0,61.5,-7.5
92,random,neg,hcp_social,-19.5,60.0,-7.5
93,random,neg,hcp_social,-12.0,64.5,-10.5
94,random,neg,hcp_social,40.5,-79.5,-34.5
95,random,neg,hcp_social,42.0,-69.0,-33.0
96,random,neg,hcp_social,43.5,-75.0,-31.5
97,random,neg,hcp_social,-28.5,-3.0,-12.0
98,random,neg,hcp_social,-22.5,3.0,-12.0
99,random,neg,hcp_social,-24.0,-1.5,-12.0
100,random,neg,hcp_social,-25.5,-61.5,-19.5
101,random,neg,hcp_social,-28.5,-52.5,-24.0
102,random,neg,hcp_social,-21.0,-61.5,-28.5
103,random,neg,hcp_social,-21.0,-43.5,-27.0
104,random,neg,hcp_social,-21.0,-40.5,-16.5
105,random,neg,hcp_social,-25.5,-49.5,-18.0
106,random,neg,hcp_social,-19.5,-45.0,-19.5
107,random,neg,hcp_social,28.5,-57.0,6.0
108,random,neg,hcp_social,22.5,-60.0,3.0
109,random,neg,hcp_social,24.0,-63.0,7.5
110,random,neg,hcp_social,24.0,-49.5,1.42108547152e-14
111,random,neg,hcp_social,-15.0,13.5,-9.0
112,random,neg,hcp_social,-21.0,15.0,-3.0
113,random,neg,hcp_social,-24.0,7.5,4.5
114,random,neg,hcp_social,-18.0,9.0,-1.5
115,random,neg,hcp_social,-33.0,-52.5,-31.5
116,random,neg,hcp_social,-36.0,-60.0,-36.0
117,random,neg,hcp_social,-36.0,-58.5,-31.5
118,random,neg,hcp_social,25.5,57.0,-3.0
119,random,neg,hcp_social,19.5,55.5,-1.5
120,random,neg,hcp_social,30.0,49.5,-1.5
121,random,neg,hcp_social,54.0,-13.5,52.5
122,random,neg,hcp_social,60.0,-10.5,43.5
123,random,neg,hcp_social,18.0,-42.0,-27.0
124,random,neg,hcp_social,16.5,-37.5,-25.5
125,random,neg,hcp_social,21.0,-48.0,-27.0
126,random,neg,hcp_social,-31.5,-70.5,51.0
127,random,neg,hcp_social,-37.5,-67.5,48.0
128,random,neg,hcp_social,-34.5,-67.5,46.5
129,random,neg,hcp_social,-58.5,-61.5,-16.5
130,random,neg,hcp_social,-57.0,-55.5,-22.5
131,random,neg,hcp_social,16.5,27.0,6.0
132,random,neg,hcp_social,13.5,27.0,-1.5
133,random,neg,hcp_social,-19.5,51.0,-12.0
134,random,neg,hcp_social,-27.0,46.5,-19.5
135,random,neg,hcp_social,-25.5,40.5,-13.5
136,random,neg,hcp_social,-27.0,45.0,-12.0
137,random,neg,hcp_social,22.5,36.0,-18.0
138,random,neg,hcp_social,49.5,-16.5,22.5
139,random,neg,hcp_social,46.5,-16.5,22.5
140,random,neg,hcp_social,52.5,-13.5,18.0
141,random,neg,hcp_social,52.5,-10.5,13.5
142,random,neg,hcp_social,6.0,-45.0,-13.5
143,random,neg,hcp_social,7.5,-46.5,-22.5
144,random,neg,hcp_social,0.0,-45.0,-13.5
145,random,neg,hcp_social,54.0,-30.0,51.0
146,random,neg,hcp_social,52.5,-28.5,54.0
147,random,neg,hcp_social,52.5,-24.0,54.0
148,random,neg,hcp_social,18.0,-76.5,22.5
149,random,neg,hcp_social,18.0,-81.0,22.5
150,random,neg,hcp_social,21.0,-70.5,18.0
151,random,neg,hcp_social,43.5,-3.0,-10.5
152,random,neg,hcp_social,46.5,-4.5,-12.0
153,random,neg,hcp_social,40.5,-7.5,-6.0
154,random,neg,hcp_social,28.5,51.0,-10.5
155,random,neg,hcp_social,34.5,54.0,-16.5
156,random,neg,hcp_social,-42.0,-28.5,9.0
157,random,neg,hcp_social,-46.5,-31.5,7.5
158,random,neg,hcp_social,-31.5,25.5,3.0
159,random,neg,hcp_social,-36.0,22.5,3.0
160,random,neg,hcp_social,-31.5,31.5,4.5
161,random,neg,hcp_social,-58.5,-27.0,-4.5
162,random,neg,hcp_social,-60.0,-27.0,-1.5
163,random,neg,hcp_social,-42.0,-60.0,-48.0
164,random,neg,hcp_social,3.0,-60.0,-33.0
165,random,neg,hcp_social,6.0,-64.5,-36.0
166,random,neg,hcp_social,9.0,-66.0,-39.0
167,random,neg,hcp_social,13.5,37.5,24.0
168,random,neg,hcp_social,12.0,31.5,19.5
169,random,neg,hcp_social,12.0,40.5,24.0
170,random,neg,hcp_social,63.0,-42.0,-19.5
171,random,neg,hcp_social,-10.5,-22.5,79.5
172,random,neg,hcp_social,-7.5,-18.0,79.5
173,random,neg,hcp_social,-9.0,-18.0,76.5
174,random,neg,hcp_social,30.0,-84.0,-46.5
175,random,neg,hcp_social,33.0,-82.5,-48.0
176,random,neg,hcp_social,24.0,-85.5,-48.0
177,random,neg,hcp_social,27.0,-66.0,-25.5
178,random,neg,hcp_social,7.5,18.0,6.0
179,random,neg,hcp_social,7.5,10.5,10.5
180,random,neg,hcp_social,24.0,-19.5,-13.5
181,random,neg,hcp_social,42.0,-58.5,51.0
182,random,neg,hcp_social,43.5,-61.5,51.0
183,random,neg,hcp_social,39.0,-57.0,46.5
184,random,neg,hcp_social,-61.5,3.0,16.5
185,random,neg,hcp_social,-16.5,-12.0,27.0
186,random,neg,hcp_social,-15.0,-6.0,27.0
187,random,neg,hcp_social,15.0,25.5,-19.5
188,random,neg,hcp_social,-22.5,-87.0,-45.0
189,random,neg,hcp_social,-16.5,-85.5,-46.5
190,random,neg,hcp_social,-1.5,18.0,10.5
191,random,neg,hcp_social,3.0,19.5,6.0
192,random,neg,hcp_social,0.0,13.5,10.5
193,random,neg,hcp_social,0.0,13.5,7.5
194,random,neg,hcp_social,-1.5,60.0,-1.5
195,random,neg,hcp_social,48.0,-49.5,-36.0
196,random,neg,hcp_social,49.5,-54.0,-39.0
197,random,neg,hcp_social,27.0,-37.5,-31.5
198,random,neg,hcp_social,-37.5,31.5,1.42108547152e-14
199,random,neg,hcp_social,54.0,-4.5,22.5
200,random,neg,hcp_social,36.0,-72.0,43.5
201,random,neg,hcp_social,42.0,-75.0,43.5
202,random,neg,hcp_social,-42.0,-48.0,-46.5
203,random,neg,hcp_social,-31.5,19.5,13.5
204,random,neg,hcp_social,-30.0,21.0,9.0
205,random,neg,hcp_social,-63.0,-31.5,15.0
206,random,neg,hcp_social,43.5,-63.0,-42.0
207,random,neg,hcp_social,37.5,-49.5,-33.0
208,random,neg,hcp_social,30.0,-1.5,-9.0
209,random,neg,hcp_social,21.0,-2.84217094304e-14,-12.0
210,random,neg,hcp_social,64.5,-34.5,40.5
211,random,neg,hcp_social,19.5,64.5,3.0
212,random,neg,hcp_social,16.5,64.5,-1.5
213,random,neg,hcp_social,-46.5,-10.5,-18.0
214,random,neg,hcp_social,-42.0,-7.5,-16.5
215,random,neg,hcp_social,-39.0,-6.0,-12.0
216,random,neg,hcp_social,46.5,-3.0,3.0
217,random,neg,hcp_social,51.0,-31.5,6.0
218,random,neg,hcp_social,57.0,-30.0,6.0
219,random,neg,hcp_social,-36.0,-63.0,-37.5
220,random,neg,hcp_social,52.5,-10.5,-10.5
221,random,neg,hcp_social,52.5,-10.5,-4.5
222,random,neg,hcp_social,-13.5,15.0,18.0
223,random,neg,hcp_social,-12.0,46.5,-1.5
224,random,neg,hcp_social,-52.5,-3.0,49.5
225,random,neg,hcp_social,-51.0,-6.0,54.0
226,random,neg,hcp_social,-16.5,-22.5,21.0
227,random,neg,hcp_social,18.0,10.5,-12.0
228,random,neg,hcp_social,-19.5,-22.5,73.5
229,random,neg,hcp_social,-10.5,30.0,30.0
230,random,neg,hcp_social,-55.5,-10.5,-13.5
231,random,neg,hcp_social,54.0,-21.0,-18.0
232,random,neg,hcp_social,54.0,-24.0,-18.0
233,random,neg,hcp_social,52.5,1.5,-13.5
234,random,neg,hcp_social,24.0,-45.0,67.5
235,random,neg,hcp_social,19.5,18.0,-1.5
236,random,neg,hcp_social,-15.0,-7.5,76.5
237,random,neg,hcp_social,-1.5,-24.0,75.0
238,random,neg,hcp_social,15.0,-22.5,75.0
239,random,neg,hcp_social,-33.0,-37.5,-28.5
240,random,neg,hcp_social,-45.0,-27.0,55.5
241,random,neg,hcp_social,-51.0,-49.5,43.5
242,random,neg,hcp_social,-6.0,-51.0,9.0
243,random,neg,hcp_social,-18.0,-46.5,75.0
244,random,neg,hcp_social,60.0,-3.0,-13.5
245,random,neg,hcp_social,6.0,-24.0,12.0
246,random,neg,hcp_social,-30.0,-15.0,-3.0
247,random,neg,hcp_social,-7.5,-48.0,42.0
248,random,neg,hcp_social,-7.5,69.0,12.0
249,random,neg,hcp_social,13.5,-63.0,-48.0
250,reward,pos,hcp_gambling,36.0,-42.0,-24.0
251,reward,pos,hcp_gambling,9.0,-85.5,-4.5
252,reward,pos,hcp_gambling,21.0,-81.0,-19.5
253,reward,pos,hcp_gambling,-27.0,-66.0,-31.5
254,reward,pos,hcp_gambling,-51.0,-40.5,51.0
255,reward,pos,hcp_gambling,-28.5,-64.5,52.5
256,reward,pos,hcp_gambling,-49.5,-34.5,51.0
257,reward,pos,hcp_gambling,-48.0,-33.0,46.5
258,reward,pos,hcp_gambling,46.5,1.5,52.5
259,reward,pos,hcp_gambling,30.0,3.0,58.5
260,reward,pos,hcp_gambling,42.0,-1.5,52.5
261,reward,pos,hcp_gambling,30.0,-4.5,52.5
262,reward,pos,hcp_gambling,42.0,3.0,31.5
263,reward,pos,hcp_gambling,46.5,6.0,30.0
264,reward,pos,hcp_gambling,33.0,19.5,6.0
265,reward,pos,hcp_gambling,33.0,24.0,4.5
266,reward,pos,hcp_gambling,37.5,22.5,-9.0
267,reward,pos,hcp_gambling,39.0,21.0,-12.0
268,reward,pos,hcp_gambling,9.0,16.5,51.0
269,reward,pos,hcp_gambling,4.5,18.0,49.5
270,reward,pos,hcp_gambling,9.0,9.0,55.5
271,reward,pos,hcp_gambling,7.5,25.5,45.0
272,reward,pos,hcp_gambling,-28.5,19.5,10.5
273,reward,pos,hcp_gambling,-31.5,19.5,6.0
274,reward,pos,hcp_gambling,-37.5,21.0,-6.0
275,reward,pos,hcp_gambling,-28.5,19.5,-6.0
276,reward,pos,hcp_gambling,19.5,10.5,64.5
277,reward,pos,hcp_gambling,19.5,9.0,69.0
278,reward,pos,hcp_gambling,13.5,4.5,67.5
279,reward,pos,hcp_gambling,9.0,-4.26325641456e-14,69.0
280,reward,pos,hcp_gambling,-6.0,-3.0,54.0
281,reward,pos,hcp_gambling,-6.0,10.5,54.0
282,reward,pos,hcp_gambling,-6.0,-4.26325641456e-14,58.5
283,reward,pos,hcp_gambling,42.0,-69.0,-49.5
284,reward,pos,hcp_gambling,21.0,-81.0,-49.5
285,reward,pos,hcp_gambling,51.0,-60.0,-49.5
286,reward,pos,hcp_gambling,46.5,-61.5,-49.5
287,reward,pos,hcp_gambling,43.5,51.0,-15.0
288,reward,pos,hcp_gambling,40.5,52.5,-13.5
289,reward,pos,hcp_gambling,49.5,45.0,-13.5
290,reward,pos,hcp_gambling,37.5,58.5,-12.0
291,reward,pos,hcp_gambling,-25.5,-73.5,33.0
292,reward,pos,hcp_gambling,-27.0,-75.0,27.0
293,reward,pos,hcp_gambling,-25.5,-78.0,42.0
294,reward,pos,hcp_gambling,-25.5,-73.5,40.5
295,reward,pos,hcp_gambling,-37.5,-7.5,52.5
296,reward,pos,hcp_gambling,-40.5,-6.0,52.5
297,reward,pos,hcp_gambling,-45.0,-6.0,54.0
298,reward,pos,hcp_gambling,-39.0,-72.0,1.5
299,reward,pos,hcp_gambling,19.5,48.0,-21.0
300,reward,pos,hcp_gambling,21.0,49.5,-13.5
301,reward,pos,hcp_gambling,7.5,51.0,-24.0
302,reward,pos,hcp_gambling,13.5,49.5,-24.0
303,reward,pos,hcp_gambling,51.0,12.0,4.5
304,reward,pos,hcp_gambling,51.0,16.5,1.42108547152e-14
305,reward,pos,hcp_gambling,22.5,-25.5,-6.0
306,reward,pos,hcp_gambling,16.5,-31.5,-4.5
307,reward,pos,hcp_gambling,13.5,-27.0,-7.5
308,reward,pos,hcp_gambling,-49.5,-4.5,39.0
309,reward,pos,hcp_gambling,-52.5,-4.26325641456e-14,37.5
310,reward,pos,hcp_gambling,-43.5,-4.26325641456e-14,36.0
311,reward,pos,hcp_gambling,-28.5,3.0,3.0
312,reward,pos,hcp_gambling,-30.0,3.0,-4.5
313,reward,pos,hcp_gambling,-45.0,12.0,3.0
314,reward,pos,hcp_gambling,-48.0,15.0,-1.5
315,reward,pos,hcp_gambling,57.0,7.5,10.5
316,reward,pos,hcp_gambling,-24.0,-48.0,-49.5
317,reward,pos,hcp_gambling,-25.5,-52.5,-49.5
318,reward,pos,hcp_gambling,51.0,10.5,16.5
319,reward,pos,hcp_gambling,27.0,-2.84217094304e-14,-4.5
320,reward,pos,hcp_gambling,30.0,-2.84217094304e-14,1.42108547152e-14
321,reward,pos,hcp_gambling,36.0,-3.0,1.42108547152e-14
322,reward,pos,hcp_gambling,7.5,-61.5,-21.0
323,reward,pos,hcp_gambling,-36.0,-4.26325641456e-14,30.0
324,reward,pos,hcp_gambling,-66.0,-19.5,24.0
325,reward,pos,hcp_gambling,-66.0,-18.0,21.0
326,reward,pos,hcp_gambling,-21.0,52.5,-15.0
327,reward,pos,hcp_gambling,-18.0,48.0,-18.0
328,reward,pos,hcp_gambling,-48.0,-58.5,-49.5
329,reward,pos,hcp_gambling,-46.5,-66.0,-49.5
330,reward,pos,hcp_gambling,-45.0,-4.5,12.0
331,reward,pos,hcp_gambling,-39.0,-76.5,-49.5
332,reward,pos,hcp_gambling,-9.0,25.5,43.5
333,reward,pos,hcp_gambling,-6.0,28.5,39.0
334,reward,pos,hcp_gambling,-42.0,49.5,9.0
335,reward,pos,hcp_gambling,-19.5,-84.0,-49.5
336,reward,pos,hcp_gambling,-13.5,-84.0,-49.5
337,reward,pos,hcp_gambling,-12.0,54.0,-24.0
338,reward,pos,hcp_gambling,40.5,37.5,28.5
339,reward,pos,hcp_gambling,3.0,-30.0,-6.0
340,reward,pos,hcp_gambling,12.0,-55.5,-49.5
341,reward,pos,hcp_gambling,6.0,-52.5,-49.5
342,reward,pos,hcp_gambling,-40.5,-28.5,-21.0
343,reward,pos,hcp_gambling,-40.5,-31.5,-21.0
344,reward,neg,hcp_gambling,-1.5,-51.0,21.0
345,reward,neg,hcp_gambling,9.0,-46.5,15.0
346,reward,neg,hcp_gambling,3.0,-45.0,55.5
347,reward,neg,hcp_gambling,39.0,-34.5,66.0
348,reward,neg,hcp_gambling,64.5,-28.5,9.0
349,reward,neg,hcp_gambling,60.0,-1.42108547152e-14,-15.0
350,reward,neg,hcp_gambling,52.5,-7.5,-19.5
351,reward,neg,hcp_gambling,60.0,-9.0,-16.5
352,reward,neg,hcp_gambling,1.5,37.5,13.5
353,reward,neg,hcp_gambling,4.5,57.0,-7.5
354,reward,neg,hcp_gambling,-3.0,52.5,-6.0
355,reward,neg,hcp_gambling,3.0,28.5,25.5
356,reward,neg,hcp_gambling,-55.5,-3.0,4.5
357,reward,neg,hcp_gambling,-48.0,15.0,-33.0
358,reward,neg,hcp_gambling,-61.5,-33.0,15.0
359,reward,neg,hcp_gambling,-51.0,3.0,-27.0
360,reward,neg,hcp_gambling,40.5,-72.0,-45.0
361,reward,neg,hcp_gambling,21.0,-81.0,-45.0
362,reward,neg,hcp_gambling,19.5,-76.5,-37.5
363,reward,neg,hcp_gambling,30.0,-79.5,-42.0
364,reward,neg,hcp_gambling,-37.5,-75.0,42.0
365,reward,neg,hcp_gambling,-40.5,-87.0,27.0
366,reward,neg,hcp_gambling,-39.0,-79.5,31.5
367,reward,neg,hcp_gambling,-45.0,-79.5,30.0
368,reward,neg,hcp_gambling,-28.5,-82.5,-39.0
369,reward,neg,hcp_gambling,-39.0,-76.5,-48.0
370,reward,neg,hcp_gambling,-25.5,-76.5,-43.5
371,reward,neg,hcp_gambling,-48.0,-55.5,-43.5
372,reward,neg,hcp_gambling,55.5,-69.0,27.0
373,reward,neg,hcp_gambling,52.5,-70.5,31.5
374,reward,neg,hcp_gambling,49.5,-70.5,25.5
375,reward,neg,hcp_gambling,52.5,-73.5,24.0
376,reward,neg,hcp_gambling,25.5,25.5,58.5
377,reward,neg,hcp_gambling,27.0,30.0,46.5
378,reward,neg,hcp_gambling,18.0,30.0,42.0
379,reward,neg,hcp_gambling,30.0,28.5,54.0
380,reward,neg,hcp_gambling,-18.0,63.0,1.5
381,reward,neg,hcp_gambling,-19.5,54.0,-4.5
382,reward,neg,hcp_gambling,-21.0,64.5,9.0
383,reward,neg,hcp_gambling,-25.5,64.5,15.0
384,reward,neg,hcp_gambling,-3.0,-18.0,10.5
385,reward,neg,hcp_gambling,4.5,-22.5,12.0
386,reward,neg,hcp_gambling,-3.0,-16.5,18.0
387,reward,neg,hcp_gambling,-3.0,-4.5,10.5
388,reward,neg,hcp_gambling,-28.5,33.0,-21.0
389,reward,neg,hcp_gambling,-30.0,37.5,-7.5
390,reward,neg,hcp_gambling,-22.5,33.0,-25.5
391,reward,neg,hcp_gambling,-19.5,31.5,-16.5
392,reward,neg,hcp_gambling,-39.0,-22.5,-1.5
393,reward,neg,hcp_gambling,-37.5,-25.5,6.0
394,reward,neg,hcp_gambling,-37.5,-19.5,10.5
395,reward,neg,hcp_gambling,-43.5,-18.0,7.5
396,reward,neg,hcp_gambling,69.0,-45.0,10.5
397,reward,neg,hcp_gambling,67.5,-39.0,1.5
398,reward,neg,hcp_gambling,70.5,-40.5,-4.5
399,reward,neg,hcp_gambling,69.0,-31.5,-1.5
400,reward,neg,hcp_gambling,-61.5,-51.0,-6.0
401,reward,neg,hcp_gambling,-63.0,-49.5,-15.0
402,reward,neg,hcp_gambling,-61.5,-54.0,-13.5
403,reward,neg,hcp_gambling,-54.0,-43.5,-10.5
404,reward,neg,hcp_gambling,-25.5,-15.0,-22.5
405,reward,neg,hcp_gambling,-19.5,-22.5,-16.5
406,reward,neg,hcp_gambling,-19.5,-22.5,-19.5
407,reward,neg,hcp_gambling,-22.5,-24.0,-24.0
408,reward,neg,hcp_gambling,-19.5,25.5,39.0
409,reward,neg,hcp_gambling,-18.0,37.5,33.0
410,reward,neg,hcp_gambling,-16.5,37.5,36.0
411,reward,neg,hcp_gambling,-22.5,34.5,51.0
412,reward,neg,hcp_gambling,1.5,15.0,1.42108547152e-14
413,reward,neg,hcp_gambling,9.0,19.5,6.0
414,reward,neg,hcp_gambling,1.5,12.0,-7.5
415,reward,neg,hcp_gambling,13.5,24.0,1.5
416,reward,neg,hcp_gambling,-30.0,24.0,39.0
417,reward,neg,hcp_gambling,-28.5,25.5,45.0
418,reward,neg,hcp_gambling,-28.5,27.0,42.0
419,reward,neg,hcp_gambling,-25.5,24.0,34.5
420,reward,neg,hcp_gambling,22.5,-67.5,25.5
421,reward,neg,hcp_gambling,22.5,-55.5,24.0
422,reward,neg,hcp_gambling,-58.5,-24.0,1.5
423,reward,neg,hcp_gambling,-55.5,-27.0,-3.0
424,reward,neg,hcp_gambling,-67.5,-28.5,-6.0
425,reward,neg,hcp_gambling,27.0,36.0,-12.0
426,reward,neg,hcp_gambling,30.0,31.5,-16.5
427,reward,neg,hcp_gambling,37.5,31.5,-22.5
428,reward,neg,hcp_gambling,25.5,33.0,-18.0
429,reward,neg,hcp_gambling,4.5,-3.0,48.0
430,reward,neg,hcp_gambling,9.0,-6.0,42.0
431,reward,neg,hcp_gambling,4.5,-12.0,43.5
432,reward,neg,hcp_gambling,-4.5,-10.5,42.0
433,reward,neg,hcp_gambling,-36.0,10.5,-22.5
434,reward,neg,hcp_gambling,-36.0,10.5,-28.5
435,reward,neg,hcp_gambling,-28.5,6.0,-28.5
436,reward,neg,hcp_gambling,-27.0,10.5,-25.5
437,reward,neg,hcp_gambling,42.0,-24.0,37.5
438,reward,neg,hcp_gambling,45.0,-18.0,39.0
439,reward,neg,hcp_gambling,42.0,-22.5,45.0
440,reward,neg,hcp_gambling,49.5,-24.0,37.5
441,reward,neg,hcp_gambling,-13.5,-58.5,-19.5
442,reward,neg,hcp_gambling,-19.5,-58.5,-25.5
443,reward,neg,hcp_gambling,-22.5,-57.0,-28.5
444,reward,neg,hcp_gambling,-10.5,-55.5,-15.0
445,reward,neg,hcp_gambling,-10.5,58.5,22.5
446,reward,neg,hcp_gambling,-4.5,64.5,24.0
447,reward,neg,hcp_gambling,-3.0,55.5,22.5
448,reward,neg,hcp_gambling,-43.5,-9.0,-13.5
449,reward,neg,hcp_gambling,-43.5,-12.0,-12.0
450,reward,neg,hcp_gambling,-39.0,-4.26325641456e-14,-16.5
451,reward,neg,hcp_gambling,-43.5,-3.0,-19.5
452,reward,neg,hcp_gambling,-3.0,-27.0,64.5
453,reward,neg,hcp_gambling,-3.0,-28.5,75.0
454,reward,neg,hcp_gambling,1.5,-27.0,64.5
455,reward,neg,hcp_gambling,22.5,6.0,-16.5
456,reward,neg,hcp_gambling,25.5,-1.5,-15.0
457,reward,neg,hcp_gambling,16.5,10.5,-16.5
458,reward,neg,hcp_gambling,22.5,3.0,-18.0
459,reward,neg,hcp_gambling,27.0,-18.0,75.0
460,reward,neg,hcp_gambling,31.5,-19.5,73.5
461,reward,neg,hcp_gambling,24.0,-19.5,69.0
462,reward,neg,hcp_gambling,-22.5,-28.5,64.5
463,reward,neg,hcp_gambling,-24.0,10.5,58.5
464,reward,neg,hcp_gambling,-21.0,7.5,55.5
465,reward,neg,hcp_gambling,-21.0,10.5,54.0
466,reward,neg,hcp_gambling,-64.5,-60.0,3.0
467,reward,neg,hcp_gambling,-66.0,-54.0,1.42108547152e-14
468,reward,neg,hcp_gambling,-28.5,-37.5,-37.5
469,reward,neg,hcp_gambling,-19.5,-34.5,-30.0
470,reward,neg,hcp_gambling,-10.5,63.0,-4.5
471,reward,neg,hcp_gambling,-13.5,67.5,-7.5
472,reward,neg,hcp_gambling,-24.0,-48.0,-48.0
473,reward,neg,hcp_gambling,-25.5,-52.5,-48.0
474,reward,neg,hcp_gambling,-6.0,-67.5,-39.0
475,reward,neg,hcp_gambling,1.5,-72.0,-45.0
476,reward,neg,hcp_gambling,-7.5,-66.0,-45.0
477,reward,neg,hcp_gambling,-48.0,-34.5,15.0
478,reward,neg,hcp_gambling,-22.5,-6.0,-27.0
479,reward,neg,hcp_gambling,-25.5,-100.5,-9.0
480,reward,neg,hcp_gambling,-25.5,-99.0,-13.5
481,reward,neg,hcp_gambling,-55.5,28.5,13.5
482,reward,neg,hcp_gambling,-51.0,27.0,7.5
483,reward,neg,hcp_gambling,22.5,-19.5,-22.5
484,reward,neg,hcp_gambling,19.5,-15.0,-24.0
485,reward,neg,hcp_gambling,28.5,-21.0,-19.5
486,reward,neg,hcp_gambling,16.5,-15.0,-22.5
487,reward,neg,hcp_gambling,-19.5,52.5,24.0
488,reward,neg,hcp_gambling,-18.0,49.5,22.5
489,reward,neg,hcp_gambling,-25.5,52.5,22.5
490,reward,neg,hcp_gambling,-52.5,34.5,-3.0
491,reward,neg,hcp_gambling,-48.0,30.0,-3.0
