,Unnamed: 0,atlas,classifier,compcor_10,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,min_region_size_in_mm3,motion_regress,n_regions,region_extraction,scores,scoring,smoothing_fwhm
108,108,dictlearn,svc_l1,yes,no,COBRE,40,12,correlation,1500,yes,108,yes,[ 0.55],roc_auc,6.0
109,109,dictlearn,svc_l2,yes,no,COBRE,40,12,correlation,1500,yes,108,yes,[ 0.7875],roc_auc,6.0
110,110,dictlearn,ridge,yes,no,COBRE,40,12,correlation,1500,yes,108,yes,[ 0.784375],roc_auc,6.0
111,111,dictlearn,svc_l1,yes,no,COBRE,40,12,partial correlation,1500,yes,108,yes,[ 0.728125],roc_auc,6.0
112,112,dictlearn,svc_l2,yes,no,COBRE,40,12,partial correlation,1500,yes,108,yes,[ 0.696875],roc_auc,6.0
113,113,dictlearn,ridge,yes,no,COBRE,40,12,partial correlation,1500,yes,108,yes,[ 0.696875],roc_auc,6.0
114,114,dictlearn,svc_l1,yes,no,COBRE,40,12,tangent,1500,yes,108,yes,[ 0.61875],roc_auc,6.0
115,115,dictlearn,svc_l2,yes,no,COBRE,40,12,tangent,1500,yes,108,yes,[ 0.79375],roc_auc,6.0
116,116,dictlearn,ridge,yes,no,COBRE,40,12,tangent,1500,yes,108,yes,[ 0.8],roc_auc,6.0
117,117,dictlearn,svc_l1,yes,no,COBRE,40,13,correlation,1500,yes,111,yes,[ 0.609375],roc_auc,6.0
118,118,dictlearn,svc_l2,yes,no,COBRE,40,13,correlation,1500,yes,111,yes,[ 0.75],roc_auc,6.0
119,119,dictlearn,ridge,yes,no,COBRE,40,13,correlation,1500,yes,111,yes,[ 0.75],roc_auc,6.0
120,120,dictlearn,svc_l1,yes,no,COBRE,40,13,partial correlation,1500,yes,111,yes,[ 0.6625],roc_auc,6.0
121,121,dictlearn,svc_l2,yes,no,COBRE,40,13,partial correlation,1500,yes,111,yes,[ 0.9],roc_auc,6.0
122,122,dictlearn,ridge,yes,no,COBRE,40,13,partial correlation,1500,yes,111,yes,[ 0.9],roc_auc,6.0
123,123,dictlearn,svc_l1,yes,no,COBRE,40,13,tangent,1500,yes,111,yes,[ 0.5875],roc_auc,6.0
124,124,dictlearn,svc_l2,yes,no,COBRE,40,13,tangent,1500,yes,111,yes,[ 0.859375],roc_auc,6.0
125,125,dictlearn,ridge,yes,no,COBRE,40,13,tangent,1500,yes,111,yes,[ 0.859375],roc_auc,6.0
126,126,dictlearn,svc_l1,yes,no,COBRE,40,14,correlation,1500,yes,104,yes,[ 0.815625],roc_auc,6.0
127,127,dictlearn,svc_l2,yes,no,COBRE,40,14,correlation,1500,yes,104,yes,[ 0.89375],roc_auc,6.0
128,128,dictlearn,ridge,yes,no,COBRE,40,14,correlation,1500,yes,104,yes,[ 0.89375],roc_auc,6.0
129,129,dictlearn,svc_l1,yes,no,COBRE,40,14,partial correlation,1500,yes,104,yes,[ 0.628125],roc_auc,6.0
130,130,dictlearn,svc_l2,yes,no,COBRE,40,14,partial correlation,1500,yes,104,yes,[ 0.93125],roc_auc,6.0
131,131,dictlearn,ridge,yes,no,COBRE,40,14,partial correlation,1500,yes,104,yes,[ 0.93125],roc_auc,6.0
132,132,dictlearn,svc_l1,yes,no,COBRE,40,14,tangent,1500,yes,104,yes,[ 0.709375],roc_auc,6.0
133,133,dictlearn,svc_l2,yes,no,COBRE,40,14,tangent,1500,yes,104,yes,[ 0.940625],roc_auc,6.0
134,134,dictlearn,ridge,yes,no,COBRE,40,14,tangent,1500,yes,104,yes,[ 0.94375],roc_auc,6.0
135,135,dictlearn,svc_l1,yes,no,COBRE,40,15,correlation,1500,yes,106,yes,[ 0.83125],roc_auc,6.0
136,136,dictlearn,svc_l2,yes,no,COBRE,40,15,correlation,1500,yes,106,yes,[ 0.8375],roc_auc,6.0
137,137,dictlearn,ridge,yes,no,COBRE,40,15,correlation,1500,yes,106,yes,[ 0.840625],roc_auc,6.0
138,138,dictlearn,svc_l1,yes,no,COBRE,40,15,partial correlation,1500,yes,106,yes,[ 0.66875],roc_auc,6.0
139,139,dictlearn,svc_l2,yes,no,COBRE,40,15,partial correlation,1500,yes,106,yes,[ 0.73125],roc_auc,6.0
140,140,dictlearn,ridge,yes,no,COBRE,40,15,partial correlation,1500,yes,106,yes,[ 0.73125],roc_auc,6.0
141,141,dictlearn,svc_l1,yes,no,COBRE,40,15,tangent,1500,yes,106,yes,[ 0.7875],roc_auc,6.0
142,142,dictlearn,svc_l2,yes,no,COBRE,40,15,tangent,1500,yes,106,yes,[ 0.828125],roc_auc,6.0
143,143,dictlearn,ridge,yes,no,COBRE,40,15,tangent,1500,yes,106,yes,[ 0.83125],roc_auc,6.0
144,144,dictlearn,svc_l1,yes,no,COBRE,40,16,correlation,1500,yes,98,yes,[ 0.60625],roc_auc,6.0
145,145,dictlearn,svc_l2,yes,no,COBRE,40,16,correlation,1500,yes,98,yes,[ 0.746875],roc_auc,6.0
146,146,dictlearn,ridge,yes,no,COBRE,40,16,correlation,1500,yes,98,yes,[ 0.73125],roc_auc,6.0
147,147,dictlearn,svc_l1,yes,no,COBRE,40,16,partial correlation,1500,yes,98,yes,[ 0.615625],roc_auc,6.0
148,148,dictlearn,svc_l2,yes,no,COBRE,40,16,partial correlation,1500,yes,98,yes,[ 0.915625],roc_auc,6.0
149,149,dictlearn,ridge,yes,no,COBRE,40,16,partial correlation,1500,yes,98,yes,[ 0.915625],roc_auc,6.0
150,150,dictlearn,svc_l1,yes,no,COBRE,40,16,tangent,1500,yes,98,yes,[ 0.890625],roc_auc,6.0
151,151,dictlearn,svc_l2,yes,no,COBRE,40,16,tangent,1500,yes,98,yes,[ 0.940625],roc_auc,6.0
152,152,dictlearn,ridge,yes,no,COBRE,40,16,tangent,1500,yes,98,yes,[ 0.940625],roc_auc,6.0
153,153,dictlearn,svc_l1,yes,no,COBRE,40,17,correlation,1500,yes,111,yes,[ 0.7625],roc_auc,6.0
