,atlas,classifier,dataset,iter_shuffle_split,measure,n_regions,scores,dimensionality
132,basc_scale122,svc_l1,COBRE,4,tangent,NA,0.709375,122
133,basc_scale122,svc_l2,COBRE,4,tangent,NA,0.821875,122
134,basc_scale122,ridge,COBRE,4,tangent,NA,0.825,122
135,ho_cort_symm_split,svc_l1,COBRE,5,correlation,NA,0.590625,96
136,ho_cort_symm_split,svc_l2,COBRE,5,correlation,NA,0.675,96
137,ho_cort_symm_split,ridge,COBRE,5,correlation,NA,0.70625,96
138,ho_cort_symm_split,svc_l1,COBRE,5,partial correlation,NA,0.553125,96
139,ho_cort_symm_split,svc_l2,COBRE,5,partial correlation,NA,0.575,96
140,ho_cort_symm_split,ridge,COBRE,5,partial correlation,NA,0.575,96
141,ho_cort_symm_split,svc_l1,COBRE,5,tangent,NA,0.5125,96
142,ho_cort_symm_split,svc_l2,COBRE,5,tangent,NA,0.609375,96
143,ho_cort_symm_split,ridge,COBRE,5,tangent,NA,0.60625,96
144,aal_spm12,svc_l1,COBRE,5,correlation,NA,0.70625,117
145,aal_spm12,svc_l2,COBRE,5,correlation,NA,0.725,117
146,aal_spm12,ridge,COBRE,5,correlation,NA,0.74375,117
147,aal_spm12,svc_l1,COBRE,5,partial correlation,NA,0.403125,117
148,aal_spm12,svc_l2,COBRE,5,partial correlation,NA,0.6875,117
149,aal_spm12,ridge,COBRE,5,partial correlation,NA,0.6875,117
150,aal_spm12,svc_l1,COBRE,5,tangent,NA,0.659375,117
151,aal_spm12,svc_l2,COBRE,5,tangent,NA,0.7375,117
152,aal_spm12,ridge,COBRE,5,tangent,NA,0.7375,117
153,basc_scale122,svc_l1,COBRE,5,correlation,NA,0.65,122
154,basc_scale122,svc_l2,COBRE,5,correlation,NA,0.671875,122
155,basc_scale122,ridge,COBRE,5,correlation,NA,0.675,122
156,basc_scale122,svc_l1,COBRE,5,partial correlation,NA,0.584375,122
157,basc_scale122,svc_l2,COBRE,5,partial correlation,NA,0.715625,122
158,basc_scale122,ridge,COBRE,5,partial correlation,NA,0.7125,122
159,basc_scale122,svc_l1,COBRE,5,tangent,NA,0.68125,122
160,basc_scale122,svc_l2,COBRE,5,tangent,NA,0.7375,122
161,basc_scale122,ridge,COBRE,5,tangent,NA,0.7375,122
162,ho_cort_symm_split,svc_l1,COBRE,6,correlation,NA,0.675,96
163,ho_cort_symm_split,svc_l2,COBRE,6,correlation,NA,0.73125,96
164,ho_cort_symm_split,ridge,COBRE,6,correlation,NA,0.728125,96
165,ho_cort_symm_split,svc_l1,COBRE,6,partial correlation,NA,0.615625,96
166,ho_cort_symm_split,svc_l2,COBRE,6,partial correlation,NA,0.7125,96
167,ho_cort_symm_split,ridge,COBRE,6,partial correlation,NA,0.7125,96
168,ho_cort_symm_split,svc_l1,COBRE,6,tangent,NA,0.5625,96
169,ho_cort_symm_split,svc_l2,COBRE,6,tangent,NA,0.753125,96
170,ho_cort_symm_split,ridge,COBRE,6,tangent,NA,0.753125,96
171,aal_spm12,svc_l1,COBRE,6,correlation,NA,0.746875,117
172,aal_spm12,svc_l2,COBRE,6,correlation,NA,0.709375,117
173,aal_spm12,ridge,COBRE,6,correlation,NA,0.703125,117
174,aal_spm12,svc_l1,COBRE,6,partial correlation,NA,0.496875,117
175,aal_spm12,svc_l2,COBRE,6,partial correlation,NA,0.815625,117
176,aal_spm12,ridge,COBRE,6,partial correlation,NA,0.815625,117
177,aal_spm12,svc_l1,COBRE,6,tangent,NA,0.5875,117
178,aal_spm12,svc_l2,COBRE,6,tangent,NA,0.8625,117
179,aal_spm12,ridge,COBRE,6,tangent,NA,0.8625,117
180,basc_scale122,svc_l1,COBRE,6,correlation,NA,0.665625,122
181,basc_scale122,svc_l2,COBRE,6,correlation,NA,0.696875,122
182,basc_scale122,ridge,COBRE,6,correlation,NA,0.678125,122
183,basc_scale122,svc_l1,COBRE,6,partial correlation,NA,0.69375,122
184,basc_scale122,svc_l2,COBRE,6,partial correlation,NA,0.815625,122
185,basc_scale122,ridge,COBRE,6,partial correlation,NA,0.815625,122
186,basc_scale122,svc_l1,COBRE,6,tangent,NA,0.7375,122
187,basc_scale122,svc_l2,COBRE,6,tangent,NA,0.8375,122
188,basc_scale122,ridge,COBRE,6,tangent,NA,0.840625,122
189,ho_cort_symm_split,svc_l1,COBRE,7,correlation,NA,0.6,96
190,ho_cort_symm_split,svc_l2,COBRE,7,correlation,NA,0.696875,96
191,ho_cort_symm_split,ridge,COBRE,7,correlation,NA,0.703125,96
192,ho_cort_symm_split,svc_l1,COBRE,7,partial correlation,NA,0.6,96
193,ho_cort_symm_split,svc_l2,COBRE,7,partial correlation,NA,0.696875,96
194,ho_cort_symm_split,ridge,COBRE,7,partial correlation,NA,0.690625,96
195,ho_cort_symm_split,svc_l1,COBRE,7,tangent,NA,0.684375,96
196,ho_cort_symm_split,svc_l2,COBRE,7,tangent,NA,0.790625,96
197,ho_cort_symm_split,ridge,COBRE,7,tangent,NA,0.790625,96
198,aal_spm12,svc_l1,COBRE,7,correlation,NA,0.659375,117
199,aal_spm12,svc_l2,COBRE,7,correlation,NA,0.725,117
200,aal_spm12,ridge,COBRE,7,correlation,NA,0.703125,117
201,aal_spm12,svc_l1,COBRE,7,partial correlation,NA,0.453125,117
