,Unnamed: 0,atlas,classifier,compcor_10,connectome_regress,dataset,iter_shuffle_split,measure,motion_regress,n_clusters,n_components,n_iter,n_regions,scores,scoring,smoothing_fwhm
196,196,ho_cort_symm_split,svc_l2,yes,no,COBRE,7.0,tangent,yes,,,,96,[ 0.790625],roc_auc,6.0
197,197,ho_cort_symm_split,ridge,yes,no,COBRE,7.0,tangent,yes,,,,96,[ 0.790625],roc_auc,6.0
198,198,aal_spm12,svc_l1,yes,no,COBRE,7.0,correlation,yes,,,,117,[ 0.659375],roc_auc,6.0
199,199,aal_spm12,svc_l2,yes,no,COBRE,7.0,correlation,yes,,,,117,[ 0.725],roc_auc,6.0
200,200,aal_spm12,ridge,yes,no,COBRE,7.0,correlation,yes,,,,117,[ 0.703125],roc_auc,6.0
201,201,aal_spm12,svc_l1,yes,no,COBRE,7.0,partial correlation,yes,,,,117,[ 0.453125],roc_auc,6.0
202,202,aal_spm12,svc_l2,yes,no,COBRE,7.0,partial correlation,yes,,,,117,[ 0.790625],roc_auc,6.0
203,203,aal_spm12,ridge,yes,no,COBRE,7.0,partial correlation,yes,,,,117,[ 0.790625],roc_auc,6.0
204,204,aal_spm12,svc_l1,yes,no,COBRE,7.0,tangent,yes,,,,117,[ 0.58125],roc_auc,6.0
205,205,aal_spm12,svc_l2,yes,no,COBRE,7.0,tangent,yes,,,,117,[ 0.8],roc_auc,6.0
206,206,aal_spm12,ridge,yes,no,COBRE,7.0,tangent,yes,,,,117,[ 0.803125],roc_auc,6.0
207,207,basc_scale122,svc_l1,yes,no,COBRE,7.0,correlation,yes,,,,122,[ 0.7625],roc_auc,6.0
208,208,basc_scale122,svc_l2,yes,no,COBRE,7.0,correlation,yes,,,,122,[ 0.684375],roc_auc,6.0
209,209,basc_scale122,ridge,yes,no,COBRE,7.0,correlation,yes,,,,122,[ 0.675],roc_auc,6.0
210,210,basc_scale122,svc_l1,yes,no,COBRE,7.0,partial correlation,yes,,,,122,[ 0.690625],roc_auc,6.0
211,211,basc_scale122,svc_l2,yes,no,COBRE,7.0,partial correlation,yes,,,,122,[ 0.7875],roc_auc,6.0
212,212,basc_scale122,ridge,yes,no,COBRE,7.0,partial correlation,yes,,,,122,[ 0.7875],roc_auc,6.0
213,213,basc_scale122,svc_l1,yes,no,COBRE,7.0,tangent,yes,,,,122,[ 0.675],roc_auc,6.0
214,214,basc_scale122,svc_l2,yes,no,COBRE,7.0,tangent,yes,,,,122,[ 0.81875],roc_auc,6.0
215,215,basc_scale122,ridge,yes,no,COBRE,7.0,tangent,yes,,,,122,[ 0.81875],roc_auc,6.0
216,216,ho_cort_symm_split,svc_l1,yes,no,COBRE,8.0,correlation,yes,,,,96,[ 0.678125],roc_auc,6.0
217,217,ho_cort_symm_split,svc_l2,yes,no,COBRE,8.0,correlation,yes,,,,96,[ 0.709375],roc_auc,6.0
218,218,ho_cort_symm_split,ridge,yes,no,COBRE,8.0,correlation,yes,,,,96,[ 0.715625],roc_auc,6.0
219,219,ho_cort_symm_split,svc_l1,yes,no,COBRE,8.0,partial correlation,yes,,,,96,[ 0.58125],roc_auc,6.0
