,atlas,classifier,dataset,measure,scores
189,aal_spm12,svc_l1,acpi,correlation,0.46484375
190,aal_spm12,svc_l2,acpi,correlation,0.46875
191,aal_spm12,ridge,acpi,correlation,0.484375
192,aal_spm12,svc_l1,acpi,partial correlation,0.58203125
193,aal_spm12,svc_l2,acpi,partial correlation,0.6015625
194,aal_spm12,ridge,acpi,partial correlation,0.5859375
195,aal_spm12,svc_l1,acpi,tangent,0.61328125
196,aal_spm12,svc_l2,acpi,tangent,0.6015625
197,aal_spm12,ridge,acpi,tangent,0.609375
198,aal_spm12,svc_l1,acpi,correlation,0.48046875
199,aal_spm12,svc_l2,acpi,correlation,0.3984375
200,aal_spm12,ridge,acpi,correlation,0.3984375
201,aal_spm12,svc_l1,acpi,partial correlation,0.44140625
202,aal_spm12,svc_l2,acpi,partial correlation,0.5078125
203,aal_spm12,ridge,acpi,partial correlation,0.50390625
204,aal_spm12,svc_l1,acpi,tangent,0.30078125
205,aal_spm12,svc_l2,acpi,tangent,0.48046875
206,aal_spm12,ridge,acpi,tangent,0.48046875
207,aal_spm12,svc_l1,acpi,correlation,0.4609375
208,aal_spm12,svc_l2,acpi,correlation,0.49609375
209,aal_spm12,ridge,acpi,correlation,0.49609375
210,aal_spm12,svc_l1,acpi,partial correlation,0.671875
211,aal_spm12,svc_l2,acpi,partial correlation,0.59765625
212,aal_spm12,ridge,acpi,partial correlation,0.59375
213,aal_spm12,svc_l1,acpi,tangent,0.51171875
214,aal_spm12,svc_l2,acpi,tangent,0.5625
215,aal_spm12,ridge,acpi,tangent,0.54296875
216,aal_spm12,svc_l1,acpi,correlation,0.48828125
217,aal_spm12,svc_l2,acpi,correlation,0.5546875
218,aal_spm12,ridge,acpi,correlation,0.5625
219,aal_spm12,svc_l1,acpi,partial correlation,0.5
220,aal_spm12,svc_l2,acpi,partial correlation,0.59765625
221,aal_spm12,ridge,acpi,partial correlation,0.59375
222,aal_spm12,svc_l1,acpi,tangent,0.5546875
223,aal_spm12,svc_l2,acpi,tangent,0.60546875
224,aal_spm12,ridge,acpi,tangent,0.61328125
225,aal_spm12,svc_l1,acpi,correlation,0.2578125
226,aal_spm12,svc_l2,acpi,correlation,0.32421875
227,aal_spm12,ridge,acpi,correlation,0.32421875
228,aal_spm12,svc_l1,acpi,partial correlation,0.5703125
229,aal_spm12,svc_l2,acpi,partial correlation,0.390625
230,aal_spm12,ridge,acpi,partial correlation,0.37890625
231,aal_spm12,svc_l1,acpi,tangent,0.3984375
232,aal_spm12,svc_l2,acpi,tangent,0.296875
233,aal_spm12,ridge,acpi,tangent,0.3046875
234,aal_spm12,svc_l1,acpi,correlation,0.50390625
235,aal_spm12,svc_l2,acpi,correlation,0.5078125
236,aal_spm12,ridge,acpi,correlation,0.5078125
