,atlas,classifier,dataset,dimensionality,iter_shuffle_split,measure,n_regions,scores
95,aal_spm12,ridge,ABIDE,117,3,partial correlation,,[ 0.65850119]
96,aal_spm12,svc_l1,ABIDE,117,3,tangent,,[ 0.67540116]
97,aal_spm12,svc_l2,ABIDE,117,3,tangent,,[ 0.71474906]
98,aal_spm12,ridge,ABIDE,117,3,tangent,,[ 0.71517583]
99,basc_scale122,svc_l1,ABIDE,122,3,correlation,,[ 0.68615568]
100,basc_scale122,svc_l2,ABIDE,122,3,correlation,,[ 0.68641174]
101,basc_scale122,ridge,ABIDE,122,3,correlation,,[ 0.67736429]
102,basc_scale122,svc_l1,ABIDE,122,3,partial correlation,,[ 0.58996244]
103,basc_scale122,svc_l2,ABIDE,122,3,partial correlation,,[ 0.6636224]
104,basc_scale122,ridge,ABIDE,122,3,partial correlation,,[ 0.66447593]
105,basc_scale122,svc_l1,ABIDE,122,3,tangent,,[ 0.66524411]
106,basc_scale122,svc_l2,ABIDE,122,3,tangent,,[ 0.71159099]
107,basc_scale122,ridge,ABIDE,122,3,tangent,,[ 0.71218846]
108,ho_cort_symm_split,svc_l1,ABIDE,96,4,correlation,,[ 0.60114374]
109,ho_cort_symm_split,svc_l2,ABIDE,96,4,correlation,,[ 0.65619665]
110,ho_cort_symm_split,ridge,ABIDE,96,4,correlation,,[ 0.64612496]
111,ho_cort_symm_split,svc_l1,ABIDE,96,4,partial correlation,,[ 0.54617617]
112,ho_cort_symm_split,svc_l2,ABIDE,96,4,partial correlation,,[ 0.55044384]
113,ho_cort_symm_split,ridge,ABIDE,96,4,partial correlation,,[ 0.55163878]
114,ho_cort_symm_split,svc_l1,ABIDE,96,4,tangent,,[ 0.58578013]
115,ho_cort_symm_split,svc_l2,ABIDE,96,4,tangent,,[ 0.66575623]
116,ho_cort_symm_split,ridge,ABIDE,96,4,tangent,,[ 0.66293957]
117,aal_spm12,svc_l1,ABIDE,117,4,correlation,,[ 0.61565381]
118,aal_spm12,svc_l2,ABIDE,117,4,correlation,,[ 0.61838511]
119,aal_spm12,ridge,ABIDE,117,4,correlation,,[ 0.60993513]
120,aal_spm12,svc_l1,ABIDE,117,4,partial correlation,,[ 0.55539433]
121,aal_spm12,svc_l2,ABIDE,117,4,partial correlation,,[ 0.5673438]
122,aal_spm12,ridge,ABIDE,117,4,partial correlation,,[ 0.57016046]
123,aal_spm12,svc_l1,ABIDE,117,4,tangent,,[ 0.5647832]
124,aal_spm12,svc_l2,ABIDE,117,4,tangent,,[ 0.68350973]
125,aal_spm12,ridge,ABIDE,117,4,tangent,,[ 0.68180266]
126,basc_scale122,svc_l1,ABIDE,122,4,correlation,,[ 0.69059406]
127,basc_scale122,svc_l2,ABIDE,122,4,correlation,,[ 0.66840219]
128,basc_scale122,ridge,ABIDE,122,4,correlation,,[ 0.66148856]
129,basc_scale122,svc_l1,ABIDE,122,4,partial correlation,,[ 0.60216798]
130,basc_scale122,svc_l2,ABIDE,122,4,partial correlation,,[ 0.67352339]
